AWND,WSF2,WSF5
6.8,17,21
3.6,7.6,10.3
5.4,11.2,14.3
4.2,7.6,10.3
3.4,6.7,8
4.5,9.4,13.9
3.9,7.2,8.9
4.4,7.6,9.8
2.2,4.5,5.8
1.3,3.6,4.5
8.1,18.3,23.2
7.4,13.4,18.3
2.4,4.5,6.3
5.1,12.5,15.6
7.9,14.3,17
6.1,13.9,17.4
6.8,14.8,18.3
5,9.8,12.5
4.8,10.3,13
5.9,10.7,13.4
5.1,9.8,11.6
9.3,15.6,19.2
4,8.9,11.6
4.6,11.2,14.3
3.4,9.4,11.2
4.5,13.4,16.5
6.2,14.8,18.3
4.5,9.8,13
3.3,7.6,9.8
5.7,12.5,14.8
4.6,8.9,11.6
1.6,3.6,5.4
4.9,13.9,17.9
4.5,16.1,19.2
7.6,13,15.6
4.4,8.9,10.7
2,6.3,8
4.7,9.4,13
2.8,7.2,8.9
2.5,5.8,6.7
8.1,13.4,17
4.7,11.6,15.6
5.7,11.6,14.3
7.3,14.8,18.3
2.6,6.7,8
4.4,9.8,12.5
2.3,7.2,8.5
2.3,6.3,7.6
4.8,9.4,11.2
3.4,9.4,11.2
9.4,19.2,24.6
3.5,10.3,13.4
4.3,9.4,11.6
7.7,15.6,20.6
5.6,10.7,13.9
6.9,16.1,19.7
5.2,13.4,17.4
5.3,8.9,10.7
8.2,17.4,22.8
4.2,11.6,15.6
5.5,10.3,13.4
6.3,11.6,14.8
4.7,13.4,17.9
5.7,12.5,15.6
6.7,12.5,16.5
12,17.9,21.5
10.4,16.1,21
6.4,14.3,19.7
1.9,5.4,6.3
3.9,9.4,11.6
5.4,8.9,10.7
3.9,6.7,8.9
5.4,10.3,13.9
7.9,12.5,16.5
6.5,11.6,13.9
7.2,14.3,17
9,14.3,18.3
9.3,13.4,16.5
5.5,13.9,17.4
3.5,9.4,11.2
3.2,8,10.3
3.1,8.9,10.3
4,7.6,9.4
1.6,5.4,6.7
2.9,8,9.8
6.1,11.2,13.4
6,10.7,14.8
4.5,7.6,9.8
6.4,11.2,14.3
2.2,7.6,11.6
2.9,5.4,8.9
6.8,10.7,13.9
7.1,13,16.1
4.2,14.8,18.3
